week,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
1,9822639,9822655,Plebmobile (PLE),Not Anyone Can Frag (NCF),-3,5
1,9822656,9822641,Fake Flashers (FF),I Remember Cal (IRC),16,14
1,9822636,9822637,Teen Titans (TT),Nox Nieman (NOX),13,8
1,9769353,9822655,You Know The Vibes (YKV),Not Anyone Can Frag (NCF),13,11
1,9822637,9822656,Nox Nieman (NOX),Fake Flashers (FF),13,4
1,9769354,9822638,RFA (RFA),Ript Gaming (RG),3,13
1,9769353,9822641,You Know The Vibes (YKV),I Remember Cal (IRC),13,6
1,9822641,9823963,I Remember Cal (IRC),Sussy Baka (SSB),13,5
1,9822636,9769365,Teen Titans (TT),Frands (FRA),13,8
1,9769355,9822640,Collective Chaos (CC),Bona Fide (BF),13,7
1,9822640,9769358,Bona Fide (BF),Trash Pandas (TP),7,13
1,9822639,9769365,Plebmobile (PLE),Frands (FRA),13,8
1,9822654,9822638,Total System Control (TSC),Ript Gaming (RG),6,13
1,9769352,9769353,Brain Bots (BRB),You Know The Vibes (YKV),13,11
1,9769356,9769352,WAIFU (WAF),Brain Bots (BRB),5,13
1,9822654,9769358,Total System Control (TSC),Trash Pandas (TP),15,17
1,9823963,9822638,Sussy Baka (SSB),Ript Gaming (RG),9,13
1,9769354,9769356,RFA (RFA),WAIFU (WAF),13,7
2,9823963,9769358,Sussy Baka (SSB),Trash Pandas (TP),0,0
2,9822638,9822639,Ript Gaming (RG),Plebmobile (PLE),5,-3
2,9769365,9822641,Frands (FRA),I Remember Cal (IRC),13,10
2,9822637,9822636,Nox Nieman (NOX),Teen Titans (TT),13,9
2,9822655,9822637,Not Anyone Can Frag (NCF),Nox Nieman (NOX),10,13
2,9822638,9769352,Ript Gaming (RG),Brain Bots (BRB),13,2
2,9822641,9769356,I Remember Cal (IRC),WAIFU (WAF),11,13
2,9769354,9769355,RFA (RFA),Collective Chaos (CC),13,5
2,9822655,9823963,Not Anyone Can Frag (NCF),Sussy Baka (SSB),13,6
2,9822640,9822655,Bona Fide (BF),Not Anyone Can Frag (NCF),10,13
2,9822637,9822654,Nox Nieman (NOX),Total System Control (TSC),-3,5
2,9822656,9822654,Fake Flashers (FF),Total System Control (TSC),13,8
2,9769353,9769365,You Know The Vibes (YKV),Frands (FRA),13,7
2,9769352,9769354,Brain Bots (BRB),RFA (RFA),13,11
2,9822640,9769353,Bona Fide (BF),You Know The Vibes (YKV),13,7
2,9822640,9769352,Bona Fide (BF),Brain Bots (BRB),10,13
2,9769356,9822639,WAIFU (WAF),Plebmobile (PLE),1,13
2,9769358,9822636,Trash Pandas (TP),Teen Titans (TT),14,12
3,9822639,9822638,Plebmobile (PLE),Ript Gaming (RG),-3,5
3,9769354,9822641,RFA (RFA),I Remember Cal (IRC),13,8
3,9769356,9769365,WAIFU (WAF),Frands (FRA),13,6
3,9769355,9822637,Collective Chaos (CC),Nox Nieman (NOX),13,5
3,9769358,9822637,Trash Pandas (TP),Nox Nieman (NOX),-3,5
3,9822638,9769353,Ript Gaming (RG),You Know The Vibes (YKV),13,6
3,9823963,9769353,Sussy Baka (SSB),You Know The Vibes (YKV),11,13
3,9822655,9822640,Not Anyone Can Frag (NCF),Bona Fide (BF),5,13
3,9769365,9822654,Frands (FRA),Total System Control (TSC),10,13
3,9822640,9822636,Bona Fide (BF),Teen Titans (TT),13,7
3,9822636,9822639,Teen Titans (TT),Plebmobile (PLE),13,8
3,9822639,9769354,Plebmobile (PLE),RFA (RFA),5,13
3,9769355,9823963,Collective Chaos (CC),Sussy Baka (SSB),14,12
3,9822640,9769356,Bona Fide (BF),WAIFU (WAF),13,4
3,9769352,9822656,Brain Bots (BRB),Fake Flashers (FF),5,13
3,9769352,9769356,Brain Bots (BRB),WAIFU (WAF),13,6
3,9822656,9823963,Fake Flashers (FF),Sussy Baka (SSB),13,4
